timestep_index,time_fs,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
506,1.83593315,-6.975726647558347,-6.268414712937242,-5.956915794030942,-5.746689467971956,-2.58752224448144,-2.1920703372908537,-1.42741777255498,-0.9244477639619423,-0.670506966714541
511,1.85407478,-6.975993679707863,-6.269792351363868,-5.957449894268714,-5.74578041248189,-2.5865971757182806,-2.191860049156991,-1.4267243678272385,-0.921162065358769,-0.6717301888459232
516,1.87221641,-6.976261106319947,-6.271156698324894,-5.957986937631103,-5.744872553844451,-2.5856704914648065,-2.1916532200482766,-1.42603822942899,-0.9178941580029267,-0.6729603099463938
521,1.89035804,-6.976528944372701,-6.27250752884164,-5.958526911774292,-5.743966022481921,-2.5847423015806843,-2.191449880442999,-1.425359418507028,-0.9146454634476038,-0.6741972955752508
526,1.90849968,-6.976797206968455,-6.273844597002697,-5.959069809248759,-5.743060952405195,-2.5838126975026277,-2.1912500626257834,-1.424687996423147,-0.9114174135161999,-0.6754411057635015
531,1.92664131,-6.977065904298728,-6.275167662901783,-5.9596156235795315,-5.742157475454682,-2.5828817702574884,-2.1910537848945206,-1.4240240150425387,-0.9082113814273737,-0.6766917044899514
536,1.94478294,-6.977335053604308,-6.276476497442939,-5.9601643423773485,-5.7412557206492485,-2.5819496137077196,-2.1908610689105426,-1.4233675274540025,-0.905028696488902,-0.677949042397598
541,1.96292457,-6.977604653037232,-6.277770901660674,-5.960715948862999,-5.740355812237375,-2.5810163302238975,-2.1906719347825825,-1.4227185864094913,-0.9018707379221534,-0.6792130587796369
546,1.9810662,-6.977874722898491,-6.279050676453171,-5.9612704287400256,-5.739457867528735,-2.5800820225135825,-2.1904864060384845,-1.4220772254653598,-0.8987387433083551,-0.6804837019729968
551,1.99920784,-6.978145273956685,-6.280315605878281,-5.961827769472814,-5.738562005837624,-2.579146784015318,-2.1903045108689194,-1.421443492715481,-0.8956339672872077,-0.6817609191093198
556,2.01734947,-6.978416317938433,-6.281565473198378,-5.962387963540349,-5.7376683437791565,-2.578210710440904,-2.190126269025494,-1.4208174271862584,-0.8925576362228365,-0.6830446651468504
561,2.0354911,-6.9786878658198725,-6.282800059077703,-5.962951006018907,-5.736777005613815,-2.5772738946858866,-2.189951707051959,-1.4201990627408017,-0.8895111038662031,-0.6843348853404732
566,2.05363273,-6.978959931562295,-6.284019136852418,-5.963516888306452,-5.7358880975945805,-2.576336433108158,-2.18978084202835,-1.4195884275227497,-0.8864952202621063,-0.6856315175996643
571,2.07177436,-6.979232519382849,-6.285222500515344,-5.964085602042034,-5.735001737342059,-2.5753984207130878,-2.1896136922470686,-1.4189855661374653,-0.8835113230170047,-0.6869345105693299
576,2.089916,-6.979505645379829,-6.286409933887859,-5.96465714818296,-5.734118035549152,-2.5744599618172646,-2.1894502810466787,-1.4183905075759777,-0.8805605496950601,-0.6882438026808025
581,2.10805763,-6.979779320097927,-6.28758124168856,-5.965231518202152,-5.733237104310863,-2.5735211592874823,-2.189290639449218,-1.4178032952089086,-0.8776439472648089,-0.6895593260325078
586,2.12619926,-6.9800535659531695,-6.288736227116211,-5.965808708658795,-5.732359048761712,-2.572582111219843,-2.1891347828139662,-1.417223944367597,-0.8747625845543369,-0.6908810355256144
591,2.14434089,-6.980328392411307,-6.28987467946247,-5.966388719386856,-5.731483973788939,-2.5716429178956575,-2.1889827224755263,-1.4166524661410684,-0.8719174775820637,-0.6922088570961239
596,2.16248252,-6.980603813663306,-6.290996422866422,-5.966971553035098,-5.73061198248164,-2.570703660337877,-2.188834475146878,-1.4160888982617423,-0.8691096033060861,-0.6935427316807727
601,2.18062415,-6.9808798427966465,-6.292101277689725,-5.967557214069372,-5.729743166626445,-2.569764445581997,-2.1886900561429328,-1.4155332589098362,-0.8663399220640658,-0.6948825958767832
606,2.19876579,-6.981156490889317,-6.293189080998686,-5.9681457079428375,-5.728877623442295,-2.5688253671869146,-2.1885494848885494,-1.4149855599822223,-0.8636093581959938,-0.6962283733169323
611,2.21690742,-6.981433767149177,-6.294259666470373,-5.968737036556802,-5.728015452489183,-2.5678865166006566,-2.188412762264557,-1.4144458211186208,-0.8609188160878654,-0.697579992297742
616,2.23504905,-6.981711671470533,-6.2953128757739085,-5.9693311996282645,-5.727156748090348,-2.5669479797175803,-2.188279899266672,-1.4139140728914887,-0.8582691745961756,-0.6989373619143084
621,2.25319068,-6.981990185991021,-6.29634853075669,-5.9699281679292175,-5.726301585285949,-2.5660098272602316,-2.1881508913332124,-1.4133903097346185,-0.8556612561624607,-0.7003003797249976
626,2.27133231,-6.982269358846502,-6.297366533019074,-5.970527981688762,-5.725450081185229,-2.565072178770196,-2.1880257725180052,-1.4128745717148048,-0.8530958844381463,-0.7016689916260369
631,2.28947395,-6.982549179657221,-6.298366735008551,-5.971130632503717,-5.724602305904876,-2.5641351115060744,-2.1879045204700023,-1.4123668526213953,-0.8505738191156907,-0.7030430911145151
636,2.30761558,-6.982829664562238,-6.29934900362622,-5.971736133470776,-5.723758355131076,-2.563198716569136,-2.18778715594928,-1.411867176285275,-0.8480957838212186,-0.7044226033843024
641,2.32575721,-6.983110820522635,-6.300313176464974,-5.972344490208446,-5.722918312101756,-2.562263093535219,-2.1876736839516706,-1.411375558253402,-0.8456625459504634,-0.7058074330785866
646,2.34389884,-6.983392666998604,-6.301259124464872,-5.972955714079248,-5.722082268838626,-2.5613283364838284,-2.187564116717205,-1.4108920193758632,-0.8432747616549483,-0.7071974864444552
651,2.36204047,-6.983675207414685,-6.302186731133846,-5.973569813035242,-5.721250299751729,-2.56039453055792,-2.187458438657346,-1.4104165651346785,-0.8409330993401661,-0.7085926553139101
656,2.38018211,-6.983958438848547,-6.303095885669989,-5.974186793317868,-5.720422488386796,-2.5594617650698943,-2.1873566626370793,-1.4099492187985083,-0.8386382011685838,-0.7099928107781021
661,2.39832374,-6.984242363611713,-6.30398647184577,-5.9748066546744365,-5.719598908978568,-2.5585301158220037,-2.1872587863858897,-1.4094899804819692,-0.8363906860941148,-0.7113978260782625
666,2.41646537,-6.984526991758962,-6.304858393202601,-5.975429407003694,-5.718779644643328,-2.5575996721681222,-2.1871648039493206,-1.4090388715295132,-0.8341911386924041,-0.7128075763939067
