timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
191,-6.95946078807,-6.16624844738,-5.93147245532,-5.79865983455,-2.63852151484,-2.21085557759,-1.47947507829,-1.10545935954,-0.608520246188
196,-6.95971229991,-6.16791948638,-5.93169235931,-5.79805912316,-2.6378807889,-2.21049379059,-1.4786721219,-1.10374168927,-0.609265228323
201,-6.95996402666,-6.16959504708,-5.93192064781,-5.7974460356,-2.63723304847,-2.21013352408,-1.4778625256,-1.10197160456,-0.610017797604
206,-6.96021595931,-6.17127481911,-5.93215719282,-5.79682082698,-2.63657835775,-2.20977478331,-1.47704656314,-1.10014936852,-0.610777977742
211,-6.96046809733,-6.17295849288,-5.9324018586,-5.79618376229,-2.63591679125,-2.20941759304,-1.47622450727,-1.09827527262,-0.611545789439
216,-6.96072044041,-6.17464578561,-5.93265451059,-5.79553509872,-2.63524841134,-2.20906196299,-1.47539664228,-1.09634957493,-0.612321253143
221,-6.96097298788,-6.17633640074,-5.93291500552,-5.79487511657,-2.63457328499,-2.20870792575,-1.47456326089,-1.09437266229,-0.613104388501
226,-6.96122571934,-6.17803001475,-5.93318319438,-5.79420407157,-2.63389146419,-2.20835547846,-1.47372465696,-1.09234493904,-0.613895195314
231,-6.96147866483,-6.1797263684,-5.9334589738,-5.79352226571,-2.63320304542,-2.20800466522,-1.47288118291,-1.09026693274,-0.614693712541
236,-6.96173180702,-6.18142513387,-5.93374218985,-5.79282995089,-2.63250807772,-2.20765548828,-1.4720331287,-1.08813908299,-0.615499949434
241,-6.96198514304,-6.18312601477,-5.93403270026,-5.79212739691,-2.63180662631,-2.2073079685,-1.47118081414,-1.08596191755,-0.616313915414
246,-6.96223867391,-6.18482870996,-5.93433036734,-5.79141487321,-2.63109876316,-2.206962132,-1.47032456124,-1.08373596979,-0.617135630752
251,-6.9624923931,-6.18653290397,-5.9346350481,-5.79069265187,-2.63038456185,-2.20661800817,-1.4694646844,-1.08146185347,-0.617965098544
256,-6.96274629727,-6.1882382733,-5.93494660697,-5.78996100239,-2.62966410071,-2.20627561758,-1.46860151269,-1.07914016557,-0.618802331436
261,-6.9630003871,-6.18994448487,-5.93526490536,-5.78922019423,-2.62893745349,-2.20593498104,-1.46773536029,-1.07677156908,-0.619647346749
266,-6.96325466054,-6.19165121659,-5.93558981362,-5.78847049861,-2.62820469304,-2.20559611766,-1.46686655706,-1.07435669448,-0.620500160243
271,-6.96350912232,-6.19335815161,-5.93592119948,-5.78771218082,-2.62746589191,-2.20525905841,-1.46599541896,-1.07189627195,-0.621360775665
276,-6.96376377572,-6.19506499042,-5.93625893154,-5.78694551283,-2.62672112701,-2.20492384267,-1.46512227839,-1.06939100585,-0.622229214476
281,-6.9640186271,-6.19677144704,-5.9366028872,-5.78617075488,-2.62597048555,-2.20459049419,-1.46424744675,-1.06684162591,-0.623105476833
286,-6.96427368317,-6.1984772635,-5.9369529521,-5.78538818704,-2.62521405655,-2.20425905496,-1.46337126071,-1.06424892728,-0.623989572375
